#timestamp [ns],w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1],a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2]
36540186834222,-0.017917011,-0.0015491684,-0.014862424,0.274674,-0.5525554,-9.733955
36540186934278,0.0036318572,-0.0017221806,-0.008660702,0.102777906,-0.52481216,-9.76407
36540187839665,-0.019755775,-0.0006009939,-0.0027046092,0.09434895,-0.47791785,-9.769477
36540188760175,-0.031743053,-0.0041096276,-0.022553848,0.05411848,-0.40200287,-9.789247
36540189790685,-0.011883193,-0.0061397175,-0.0133731095,0.013609459,-0.24591266,-9.763392
36540190821123,-0.02752797,-0.0061415625,0.038102265,-0.034474626,-0.40231928,-9.771517
36540191831594,0.0050870725,-7.989095e-05,0.015416522,0.10098053,-0.43565226,-9.763291
36540192832098,-0.040177394,-0.03386993,-0.09616594,-0.4649519,-0.23134018,-9.77958
36540193757511,-0.0347364,-0.0024456927,-0.045874,0.43913776,-0.47358257,-9.680471
36540194777977,0.009371671,-0.0031636348,-0.018859474,0.20673728,-0.6370995,-9.728833
36540195783514,0.0018261658,-0.0007440554,0.00067806133,0.19877927,-0.5209982,-9.718861
36540196798979,0.0012493266,-0.0029393893,-0.0025818646,0.12660481,-0.5439388,-9.729255
36540197814443,-1.6166738e-05,-0.0013369384,-0.0020476088,0.17659877,-0.5752635,-9.73918
36540198814946,0.0061810478,-0.0044426075,-0.0003555576,0.011723326,-0.5377543,-9.77639
36540199835407,0.017116591,-0.004416316,0.016030287,-0.03694391,-0.56687266,-9.795646
36540200840874,0.0075808987,-0.0057168067,0.00057058566,-0.029613907,-0.57274467,-9.831254
36540201846358,0.0109083075,0.0010515074,-0.007490836,0.6307405,-0.5641885,-9.651687
36540202771790,-0.050064094,0.008932309,-0.036788695,0.43753535,-0.575669,-9.718646
36540203772398,-0.020695819,0.0012551605,-0.0012176889,0.18016174,-0.5139732,-9.766809
36540204777810,-0.003981649,4.9780898e-05,0.0036673497,0.15393054,-0.54218614,-9.746326
36540205798301,-0.0028827798,-0.00019923777,0.0016921959,0.15347336,-0.5291364,-9.759574
36540206823750,-0.006429673,-0.000908503,0.020150064,0.14384878,-0.48725787,-9.721989
36540207834379,0.01483423,0.0034868643,0.013253193,0.18845208,-0.4839876,-9.764135
36540208844729,-0.0002603117,-0.0023728383,-0.020130685,0.11243988,-0.49706373,-9.780893
36540209760173,-0.00973826,-0.007283933,-0.014561725,0.01707793,-0.5478613,-9.779026
36540210785676,-0.013861666,-0.011599247,-0.041418787,0.12340322,-0.5206882,-9.763163
36540211786160,0.0014438354,-0.0030104327,0.00016975455,0.091465525,-0.52317274,-9.776441
36540212796680,0.020021928,0.0066062617,0.021218969,0.089143686,-0.55026716,-9.805035
36540213807138,-0.0037009749,-0.0038061887,-0.041917942,0.22874434,-0.5401267,-9.739555
36540214842689,-0.0005685034,0.0010648514,0.0039039098,-0.04904492,-0.5335973,-9.78081
36540215753187,0.00953307,-0.00034724618,0.013252514,0.08008174,-0.51730025,-9.7662
36540216773675,-0.00308874,-0.008932734,-0.0048843,0.30484867,-0.57978195,-9.761309
36540217804266,0.016331606,0.0024746154,0.035569917,0.044069957,-0.42300338,-9.759029
36540218824732,0.0026012463,-0.0066425344,-0.0092099095,0.02757903,-0.47641543,-9.761839
36540219850097,0.0037788854,-0.010434733,-0.017717212,0.40593258,-0.68649524,-9.859169
36540220755549,-0.00038956566,0.0063651,0.0061278227,0.15604617,-0.42336562,-9.749703
36540221766147,0.006600555,-0.0050097806,-0.037001487,0.1554368,-0.44924733,-9.767838
36540222776555,0.013788899,-0.010804837,-0.06803976,-0.11608667,-0.42694533,-9.836149
36540223782021,-0.011522084,0.0021037168,0.009499033,0.07369533,-0.59677416,-9.775851
36540224797595,-0.004489242,-0.014543284,-0.0780024,0.096826725,-0.5164015,-9.708534
36540225818030,-0.01896258,0.0057918006,0.023514023,0.07687668,-0.59130543,-9.770117
36540226823528,-0.006933342,0.017029675,-0.016392779,0.17725201,-0.5612247,-9.766338
36540227844030,0.004528844,0.012661275,0.076445706,0.19696376,-0.5734004,-9.73142
36540228759501,0.002455074,-0.016676176,-0.04615885,0.25417718,-0.5875622,-9.790226
36540229760031,-0.009158642,-0.009612175,-0.031168085,0.09114963,-0.55563563,-9.767567
36540230775492,0.007997519,0.019067252,0.059781622,0.31144264,-0.52401304,-9.738307
36540231776034,-0.021535322,-0.005306705,-0.12163037,0.28346917,-0.5099734,-9.7493515
36540232781596,0.0058059874,0.00037586028,0.013411913,0.1351507,-0.55856514,-9.741203
36540233796990,0.005651035,0.0009696187,-0.008191302,0.21346742,-0.5075325,-9.735691
36540234812654,0.0058939364,-0.006696074,0.009692356,0.1207922,-0.46867362,-9.760335
36540235822996,0.023122156,-0.0067760176,-0.023818528,0.12741864,-0.49020362,-9.770332
36540236833574,0.0020252746,-0.00024493138,0.0060461457,0.17006715,-0.51234126,-9.769113
36540237753956,-0.0007018339,-0.0014905586,-0.0030314648,0.16974826,-0.51512325,-9.765115
36540238754479,-0.0011677643,-0.00091905054,0.0010900494,0.18046187,-0.5101519,-9.776228
36540239765008,0.0006786184,-0.00013988142,0.0064499904,0.17235549,-0.5117368,-9.765063
36540240805511,-0.0011078314,-0.0020295137,-0.005605204,0.17378348,-0.51695323,-9.767009
36540241821054,-0.0028143176,-0.0007599377,0.0006505281,0.17703748,-0.5159931,-9.7603445
36540242826516,-0.013086428,-0.0014447203,0.011748597,0.2426558,-0.5425203,-9.7616
36540243747048,-0.012033947,0.008904836,0.044485006,0.47573778,-0.52580065,-9.708966
36540244777654,-0.002106976,-0.0021830238,-0.005183738,0.12618162,-0.5167866,-9.777352
36540245798095,0.00091250543,-0.0004454942,0.0047520907,0.18338734,-0.50830126,-9.773509
36540246818533,-3.1428965e-05,-3.356382e-05,0.0034060662,0.1772952,-0.51695096,-9.776007
36540247824027,-0.0018084178,-0.0013784578,-0.004439746,0.16708304,-0.5072693,-9.774614
36540248829669,-0.0030605155,0.00044014948,0.009261499,0.18093269,-0.5157591,-9.772679
36540249770027,0.0037378368,-0.0012756354,-0.0021579354,0.17909692,-0.5076841,-9.7615595
36540250785542,0.0019693687,-0.0014809384,0.0016397336,0.17389996,-0.5141335,-9.771877
36540251786050,-0.0031712549,-0.0012040932,-0.0011024865,0.21951243,-0.51936,-9.757242
36540252796602,-0.005352508,0.0013453366,0.00066692254,0.2280028,-0.52659446,-9.765216
36540253812069,0.0038456453,-0.0009947711,0.0026052601,0.17483337,-0.49487257,-9.786083
36540254817681,0.0027669035,-0.002343341,-0.0007245827,0.16499178,-0.53734684,-9.78236
36540255828089,-0.0047310754,-0.0013736316,0.0010768436,0.1545019,-0.5260625,-9.791624
36540256833608,0.008098072,-0.002606566,-0.003722958,0.1653229,-0.5202773,-9.76691
36540257844245,-0.011082116,-0.0007994921,-0.0021598598,0.15875827,-0.5143502,-9.793364
36540258754594,0.00023703133,-0.0007386783,-0.0014561748,0.18720308,-0.5147504,-9.7569
36540259770217,-0.0028161223,0.0017282084,0.020261971,0.18397452,-0.5050678,-9.76987
36540260795772,-0.010208627,-0.0027964164,-0.009081287,0.17749801,-0.52389914,-9.770799
